Student Enrolment Key,Unit of Study Identifier,Semester,Mode of Study,Gender,Age Category,Dom/Int,Mark,Canvas access Week 1,Canvas access Week 2,Canvas access Week 3,Canvas access Week 4,Canvas access Week 5,Canvas access Week 6,Canvas access Week 7,Canvas access Week 8,Canvas access Week 9,Canvas access Week 10,Canvas access Week 11,Canvas access Week 12,Canvas access Week 13,Canvas access Mid-semester break,Canvas access STUVAC
1,UNIT H,2,Full Time,F,19-21,International,68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,UNIT S,1,Full Time,M,19-21,International,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,UNIT S,1,Full Time,M,19-21,International,42,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
4,UNIT S,2,Full Time,F,22-25,International,46,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
5,UNIT K,1,Part Time,M,22-25,Domestic,60,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,UNIT S,1,Full Time,M,19-21,Domestic,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,UNIT G,2,Full Time,F,18 and Under,Domestic,82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,UNIT V,2,Full Time,M,19-21,International,79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,UNIT O,1,Full Time,F,19-21,Domestic,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,UNIT W,2,Full Time,M,18 and Under,Domestic,62,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,UNIT G,2,Full Time,F,19-21,Domestic,65,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,UNIT S,2,Full Time,M,18 and Under,International,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,UNIT Y,1,Full Time,M,19-21,Domestic,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,UNIT S,1,Full Time,F,22-25,International,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,UNIT H,2,Full Time,F,19-21,Domestic,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,UNIT K,1,Full Time,F,19-21,International,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,UNIT S,2,Part Time,M,18 and Under,Domestic,54,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,UNIT O,1,Full Time,M,19-21,Domestic,83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,UNIT O,1,Full Time,M,19-21,International,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,UNIT K,1,Full Time,F,19-21,International,79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,UNIT X,1,Full Time,M,18 and Under,Domestic,73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,UNIT Q,2,Full Time,M,19-21,Domestic,63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,UNIT O,1,Full Time,M,19-21,International,66,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,UNIT V,2,Full Time,M,22-25,Domestic,75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,UNIT A,1,Full Time,F,19-21,Domestic,58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,UNIT G,2,Full Time,F,19-21,Domestic,79,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
27,UNIT O,1,Full Time,M,19-21,International,35,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
